"ITTER107","Territory","TIPO_DATO_AVQ","Data type","MISURA_AVQ","Measure","TIME","Select time","Value","Flag Codes","Flags"
"ITC3","Liguria","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2018","2018",25,,
"ITC3","Liguria","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2019","2019",30,,
"ITDA","Trentino Alto Adige / Südtirol","AVTYPE_H60OVER_T","total","THV","thousands value","2018","2018",69,,
"ITDA","Trentino Alto Adige / Südtirol","AVTYPE_H60OVER_T","total","THV","thousands value","2019","2019",77,,
"ITF1","Abruzzo","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2018","2018",78.4,,
"ITF1","Abruzzo","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2019","2019",77.7,,
"IT","Italy","HOUSE_1PBIS","single persons","THV","thousands value","2018","2018",8487,,
"IT","Italy","HOUSE_1PBIS","single persons","THV","thousands value","2019","2019",8562,,
"6","until 2,000 inhab.","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2018","2018",47.1,,
"6","until 2,000 inhab.","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2019","2019",44.3,,
"IT","Italy","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2018","2018",33,,
"IT","Italy","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2019","2019",33.3,,
"ITF3","Campania","AVTYPE_H60OVER_F","female","THV","thousands value","2018","2018",222,,
"ITF3","Campania","AVTYPE_H60OVER_F","female","THV","thousands value","2019","2019",225,,
"ITD3","Veneto","AVTYPE_COMP","average number of members","AVE","average","2018","2018",2.4,,
"ITD3","Veneto","AVTYPE_COMP","average number of members","AVE","average","2019","2019",2.4,,
"ITC1","Piemonte","AVTYPE_HONEP","one parent","HSC_N","per 100 nucleus with the same characteristics","2018","2018",17.3,,
"ITC1","Piemonte","AVTYPE_HONEP","one parent","HSC_N","per 100 nucleus with the same characteristics","2019","2019",16.3,,
"ITD4","Friuli-Venezia Giulia","AVTYPE_H60OVER_F","female","THV","thousands value","2018","2018",91,,
"ITD4","Friuli-Venezia Giulia","AVTYPE_H60OVER_F","female","THV","thousands value","2019","2019",84,,
"ITF1","Abruzzo","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2018","2018",35,,
"ITF1","Abruzzo","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2019","2019",33,,
"ITF1","Abruzzo","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",30.2,,
"ITF1","Abruzzo","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",31.9,,
"IT","Italy","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2018","2018",54,,
"IT","Italy","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2019","2019",54.6,,
"ITF3","Campania","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2018","2018",185,,
"ITF3","Campania","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2019","2019",167,,
"7","2,001 - 10,000 inhab.","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2018","2018",265,,
"7","2,001 - 10,000 inhab.","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2019","2019",288,,
"6","until 2,000 inhab.","HOUSE_1PBIS","single persons","THV","thousands value","2018","2018",561,,
"6","until 2,000 inhab.","HOUSE_1PBIS","single persons","THV","thousands value","2019","2019",477,,
"ITFG","Mezzogiorno","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2018","2018",77.2,,
"ITFG","Mezzogiorno","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2019","2019",78.8,,
"7","2,001 - 10,000 inhab.","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2018","2018",56.2,,
"7","2,001 - 10,000 inhab.","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2019","2019",56.3,,
"ITD5","Emilia-Romagna","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2018","2018",36.5,,
"ITD5","Emilia-Romagna","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2019","2019",37.3,,
"ITE","Centro (I)","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",31.4,,
"ITE","Centro (I)","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",30.4,,
"ITD","Nord-est","AVTYPE_HONEP","one parent","HSC_N","per 100 nucleus with the same characteristics","2018","2018",13.9,,
"ITD","Nord-est","AVTYPE_HONEP","one parent","HSC_N","per 100 nucleus with the same characteristics","2019","2019",14.2,,
"ITF5","Basilicata","AVTYPE_H5MORE","households with 5 members or more","HSC_F","per 100 households with the same characteristics","2018","2018",5.3,,
"ITF5","Basilicata","AVTYPE_H5MORE","households with 5 members or more","HSC_F","per 100 households with the same characteristics","2019","2019",4.5,,
"9","50,001 inhab. and over","AVTYPE_H60OVER_M","male","THV","thousands value","2018","2018",221,,
"9","50,001 inhab. and over","AVTYPE_H60OVER_M","male","THV","thousands value","2019","2019",222,,
"IT","Italy","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2018","2018",1240,,
"IT","Italy","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2019","2019",1258,,
"ITF","Sud","HOUSE_1PBIS","single persons","THV","thousands value","2018","2018",1510,,
"ITF","Sud","HOUSE_1PBIS","single persons","THV","thousands value","2019","2019",1529,,
"ITG2","Sardegna","AVTYPE_HONEP","one parent","HSC_N","per 100 nucleus with the same characteristics","2018","2018",16.9,,
"ITG2","Sardegna","AVTYPE_HONEP","one parent","HSC_N","per 100 nucleus with the same characteristics","2019","2019",20.6,,
"ITG2","Sardegna","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2018","2018",35.5,,
"ITG2","Sardegna","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2019","2019",33.4,,
"ITE4","Lazio","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2018","2018",5.3,,
"ITE4","Lazio","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2019","2019",5.5,,
"ITC4","Lombardia","AVTYPE_H5MORE","households with 5 members or more","HSC_F","per 100 households with the same characteristics","2018","2018",4.3,,
"ITC4","Lombardia","AVTYPE_H5MORE","households with 5 members or more","HSC_F","per 100 households with the same characteristics","2019","2019",4.5,,
"ITFG","Mezzogiorno","HOUSE_1PBIS","single persons","THV","thousands value","2018","2018",2372,,
"ITFG","Mezzogiorno","HOUSE_1PBIS","single persons","THV","thousands value","2019","2019",2422,,
"ITD2","Provincia Autonoma Trento","AVTYPE_HYESCHI","couples with children","THV","thousands value","2018","2018",78,,
"ITD2","Provincia Autonoma Trento","AVTYPE_HYESCHI","couples with children","THV","thousands value","2019","2019",79,,
"2","metropolitan area - centre","AVTYPE_H60OVER_F","female","HSC_S","per 100 singles with the same characteristics","2018","2018",62.3,,
"2","metropolitan area - centre","AVTYPE_H60OVER_F","female","HSC_S","per 100 singles with the same characteristics","2019","2019",63.2,,
"ITD4","Friuli-Venezia Giulia","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2018","2018",71.1,,
"ITD4","Friuli-Venezia Giulia","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2019","2019",74.6,,
"IT","Italy","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",32.1,,
"IT","Italy","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",31.5,,
"ITE2","Umbria","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2018","2018",6.5,,
"ITE2","Umbria","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2019","2019",7.4,,
"ITG2","Sardegna","AVTYPE_H60OVER_T","total","THV","thousands value","2018","2018",123,,
"ITG2","Sardegna","AVTYPE_H60OVER_T","total","THV","thousands value","2019","2019",129,,
"ITD5","Emilia-Romagna","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2018","2018",367,,
"ITD5","Emilia-Romagna","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2019","2019",347,,
"ITD2","Provincia Autonoma Trento","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2018","2018",13,,
"ITD2","Provincia Autonoma Trento","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2019","2019",13,,
"ITE","Centro (I)","AVTYPE_H60OVER_F","female","THV","thousands value","2018","2018",678,,
"ITE","Centro (I)","AVTYPE_H60OVER_F","female","THV","thousands value","2019","2019",687,,
"ITE1","Toscana","AVTYPE_HNOCHI","couples without children","THV","thousands value","2018","2018",361,,
"ITE1","Toscana","AVTYPE_HNOCHI","couples without children","THV","thousands value","2019","2019",374,,
"ITC1","Piemonte","AVTYPE_H60OVER_T","total","THV","thousands value","2018","2018",414,,
"ITC1","Piemonte","AVTYPE_H60OVER_T","total","THV","thousands value","2019","2019",418,,
"ITD","Nord-est","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2018","2018",35.9,,
"ITD","Nord-est","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2019","2019",36.6,,
"ITF","Sud","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2018","2018",335,,
"ITF","Sud","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2019","2019",324,,
"ITE","Centro (I)","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2018","2018",52.7,,
"ITE","Centro (I)","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2019","2019",53.8,,
"6","until 2,000 inhab.","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2018","2018",58,,
"6","until 2,000 inhab.","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2019","2019",63,,
"ITE3","Marche","AVTYPE_HNOCHI","couples without children","THV","thousands value","2018","2018",137,,
"ITE3","Marche","AVTYPE_HNOCHI","couples without children","THV","thousands value","2019","2019",130,,
"ITD1","Provincia Autonoma Bolzano / Bozen","AVTYPE_H5MORE","households with 5 members or more","HSC_F","per 100 households with the same characteristics","2018","2018",7.3,,
"ITD1","Provincia Autonoma Bolzano / Bozen","AVTYPE_H5MORE","households with 5 members or more","HSC_F","per 100 households with the same characteristics","2019","2019",8.3,,
"2","metropolitan area - centre","AVTYPE_HYESCHI","couples with children","THV","thousands value","2018","2018",1187,,
"2","metropolitan area - centre","AVTYPE_HYESCHI","couples with children","THV","thousands value","2019","2019",1153,,
"ITFG","Mezzogiorno","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2018","2018",5.5,,
"ITFG","Mezzogiorno","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2019","2019",5.3,,
"3","metropolitan area - suburbs","AVTYPE_HYESCHI","couples with children","THV","thousands value","2018","2018",1259,,
"3","metropolitan area - suburbs","AVTYPE_HYESCHI","couples with children","THV","thousands value","2019","2019",1339,,
"ITE4","Lazio","HOUSE_1PBIS","single persons","THV","thousands value","2018","2018",936,,
"ITE4","Lazio","HOUSE_1PBIS","single persons","THV","thousands value","2019","2019",949,,
"ITE2","Umbria","HOUSE_1PBIS","single persons","THV","thousands value","2018","2018",138,,
"ITE2","Umbria","HOUSE_1PBIS","single persons","THV","thousands value","2019","2019",135,,
"ITE","Centro (I)","AVTYPE_HNOCHI","couples without children","THV","thousands value","2018","2018",1064,,
"ITE","Centro (I)","AVTYPE_HNOCHI","couples without children","THV","thousands value","2019","2019",1032,,
"ITC","Nord-ovest","AVTYPE_H60OVER_T","total","THV","thousands value","2018","2018",1417,,
"ITC","Nord-ovest","AVTYPE_H60OVER_T","total","THV","thousands value","2019","2019",1425,,
"ITE4","Lazio","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2018","2018",76.1,,
"ITE4","Lazio","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2019","2019",74.6,,
"ITF4","Puglia","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2018","2018",73,,
"ITF4","Puglia","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2019","2019",77,,
"ITDA","Trentino Alto Adige / Südtirol","AVTYPE_COMP","average number of members","AVE","average","2018","2018",2.4,,
"ITDA","Trentino Alto Adige / Südtirol","AVTYPE_COMP","average number of members","AVE","average","2019","2019",2.4,,
"ITF","Sud","AVTYPE_H60OVER_F","female","THV","thousands value","2018","2018",621,,
"ITF","Sud","AVTYPE_H60OVER_F","female","THV","thousands value","2019","2019",638,,
"ITC1","Piemonte","AVTYPE_HONEP","one parent","THV","thousands value","2018","2018",219,,
"ITC1","Piemonte","AVTYPE_HONEP","one parent","THV","thousands value","2019","2019",203,,
"ITF5","Basilicata","AVTYPE_HONEP","one parent","THV","thousands value","2018","2018",22,,
"ITF5","Basilicata","AVTYPE_HONEP","one parent","THV","thousands value","2019","2019",23,,
"ITE2","Umbria","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2018","2018",72.2,,
"ITE2","Umbria","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2019","2019",69.9,,
"ITF2","Molise","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2018","2018",3.1,,
"ITF2","Molise","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2019","2019",4.4,,
"ITF3","Campania","AVTYPE_HNOCHI","couples without children","THV","thousands value","2018","2018",385,,
"ITF3","Campania","AVTYPE_HNOCHI","couples without children","THV","thousands value","2019","2019",377,,
"ITD","Nord-est","AVTYPE_HONEP","one parent","THV","thousands value","2018","2018",459,,
"ITD","Nord-est","AVTYPE_HONEP","one parent","THV","thousands value","2019","2019",466,,
"ITF1","Abruzzo","AVTYPE_HNOCHI","couples without children","THV","thousands value","2018","2018",113,,
"ITF1","Abruzzo","AVTYPE_HNOCHI","couples without children","THV","thousands value","2019","2019",119,,
"ITD4","Friuli-Venezia Giulia","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2018","2018",59.4,,
"ITD4","Friuli-Venezia Giulia","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2019","2019",58.8,,
"ITF5","Basilicata","AVTYPE_COMP","average number of members","AVE","average","2018","2018",2.4,,
"ITF5","Basilicata","AVTYPE_COMP","average number of members","AVE","average","2019","2019",2.4,,
"ITDA","Trentino Alto Adige / Südtirol","AVTYPE_HONEP","one parent","THV","thousands value","2018","2018",41,,
"ITDA","Trentino Alto Adige / Südtirol","AVTYPE_HONEP","one parent","THV","thousands value","2019","2019",38,,
"ITD3","Veneto","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2018","2018",4.9,,
"ITD3","Veneto","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2019","2019",4.8,,
"2","metropolitan area - centre","AVTYPE_HYESCHI","couples with children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",47.6,,
"2","metropolitan area - centre","AVTYPE_HYESCHI","couples with children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",47.1,,
"ITF4","Puglia","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",29.7,,
"ITF4","Puglia","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",28.7,,
"9","50,001 inhab. and over","AVTYPE_H60OVER_F","female","HSC_S","per 100 singles with the same characteristics","2018","2018",65.6,,
"9","50,001 inhab. and over","AVTYPE_H60OVER_F","female","HSC_S","per 100 singles with the same characteristics","2019","2019",67.2,,
"ITF4","Puglia","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2018","2018",58.1,,
"ITF4","Puglia","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2019","2019",58.1,,
"ITD1","Provincia Autonoma Bolzano / Bozen","AVTYPE_COMP","average number of members","AVE","average","2018","2018",2.4,,
"ITD1","Provincia Autonoma Bolzano / Bozen","AVTYPE_COMP","average number of members","AVE","average","2019","2019",2.4,,
"8","10,001 - 50,000 inhab.","AVTYPE_H5MORE","households with 5 members or more","HSC_F","per 100 households with the same characteristics","2018","2018",5.5,,
"8","10,001 - 50,000 inhab.","AVTYPE_H5MORE","households with 5 members or more","HSC_F","per 100 households with the same characteristics","2019","2019",5.5,,
"IT","Italy","AVTYPE_HNOCHI","couples without children","THV","thousands value","2018","2018",5475,,
"IT","Italy","AVTYPE_HNOCHI","couples without children","THV","thousands value","2019","2019",5343,,
"ITC","Nord-ovest","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2018","2018",37.7,,
"ITC","Nord-ovest","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2019","2019",38.3,,
"ITG","Isole","AVTYPE_H5MORE","households with 5 members or more","HSC_F","per 100 households with the same characteristics","2018","2018",6.1,,
"ITG","Isole","AVTYPE_H5MORE","households with 5 members or more","HSC_F","per 100 households with the same characteristics","2019","2019",5.2,,
"2","metropolitan area - centre","AVTYPE_H60OVER_M","male","THV","thousands value","2018","2018",202,,
"2","metropolitan area - centre","AVTYPE_H60OVER_M","male","THV","thousands value","2019","2019",258,,
"7","2,001 - 10,000 inhab.","AVTYPE_HNOCHI","couples without children","THV","thousands value","2018","2018",1283,,
"7","2,001 - 10,000 inhab.","AVTYPE_HNOCHI","couples without children","THV","thousands value","2019","2019",1201,,
"3","metropolitan area - suburbs","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2018","2018",28.9,,
"3","metropolitan area - suburbs","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2019","2019",29,,
"ITF2","Molise","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2018","2018",35,,
"ITF2","Molise","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2019","2019",32.3,,
"ITF","Sud","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",27.4,,
"ITF","Sud","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",27.1,,
"6","until 2,000 inhab.","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",37.5,,
"6","until 2,000 inhab.","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",37.8,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","AVTYPE_H60OVER_M","male","THV","thousands value","2018","2018",4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","AVTYPE_H60OVER_M","male","THV","thousands value","2019","2019",4,,
"ITC1","Piemonte","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2018","2018",42.5,,
"ITC1","Piemonte","AVTYPE_H60OVER_M","male","HSC_S","per 100 singles with the same characteristics","2019","2019",42.1,,
"3","metropolitan area - suburbs","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2018","2018",830,,
"3","metropolitan area - suburbs","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2019","2019",875,,
"2","metropolitan area - centre","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2018","2018",188,,
"2","metropolitan area - centre","AVTYPE_H5MORE","households with 5 members or more","THV","thousands value","2019","2019",175,,
"ITD2","Provincia Autonoma Trento","AVTYPE_H60OVER_F","female","HSC_S","per 100 singles with the same characteristics","2018","2018",60.9,,
"ITD2","Provincia Autonoma Trento","AVTYPE_H60OVER_F","female","HSC_S","per 100 singles with the same characteristics","2019","2019",68.2,,
"ITD3","Veneto","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2018","2018",30.2,,
"ITD3","Veneto","HOUSE_1PBIS","single persons","HSC_F","per 100 households with the same characteristics","2019","2019",29.6,,
"ITD4","Friuli-Venezia Giulia","HOUSE_1PBIS","single persons","THV","thousands value","2018","2018",219,,
"ITD4","Friuli-Venezia Giulia","HOUSE_1PBIS","single persons","THV","thousands value","2019","2019",202,,
"ITF2","Molise","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2018","2018",34,,
"ITF2","Molise","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2019","2019",35,,
"ITF6","Calabria","AVTYPE_HNOCHI","couples without children","THV","thousands value","2018","2018",155,,
"ITF6","Calabria","AVTYPE_HNOCHI","couples without children","THV","thousands value","2019","2019",159,,
"ITF","Sud","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2018","2018",78.1,,
"ITF","Sud","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2019","2019",79.7,,
"ITD5","Emilia-Romagna","AVTYPE_HYESCHI","couples with children","THV","thousands value","2018","2018",627,,
"ITD5","Emilia-Romagna","AVTYPE_HYESCHI","couples with children","THV","thousands value","2019","2019",618,,
"ITD","Nord-est","AVTYPE_H60OVER_T","total","THV","thousands value","2018","2018",887,,
"ITD","Nord-est","AVTYPE_H60OVER_T","total","THV","thousands value","2019","2019",897,,
"ITF","Sud","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2018","2018",55.5,,
"ITF","Sud","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2019","2019",56.4,,
"6","until 2,000 inhab.","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2018","2018",61.8,,
"6","until 2,000 inhab.","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2019","2019",60.1,,
"ITF3","Campania","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2018","2018",55.1,,
"ITF3","Campania","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2019","2019",55.2,,
"ITD2","Provincia Autonoma Trento","AVTYPE_H60OVER_M","male","THV","thousands value","2018","2018",11,,
"ITD2","Provincia Autonoma Trento","AVTYPE_H60OVER_M","male","THV","thousands value","2019","2019",10,,
"ITF4","Puglia","AVTYPE_HNOCHI","couples without children","THV","thousands value","2018","2018",347,,
"ITF4","Puglia","AVTYPE_HNOCHI","couples without children","THV","thousands value","2019","2019",331,,
"7","2,001 - 10,000 inhab.","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",32.6,,
"7","2,001 - 10,000 inhab.","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",31.2,,
"ITF3","Campania","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",24,,
"ITF3","Campania","AVTYPE_HNOCHI","couples without children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",23.5,,
"ITD2","Provincia Autonoma Trento","AVTYPE_HYESCHI","couples with children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",51.8,,
"ITD2","Provincia Autonoma Trento","AVTYPE_HYESCHI","couples with children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",51.2,,
"ITD3","Veneto","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2018","2018",449,,
"ITD3","Veneto","AVTYPE_HUNMCH","unmarried children aged 18-30 years","THV","thousands value","2019","2019",464,,
"6","until 2,000 inhab.","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2018","2018",74.6,,
"6","until 2,000 inhab.","AVTYPE_HUNMCH","unmarried children aged 18-30 years","HSC_G","per 100 young aged 18-30 years with the same characteristics","2019","2019",75.8,,
"ITF1","Abruzzo","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2018","2018",53.2,,
"ITF1","Abruzzo","AVTYPE_H60OVER_T","total","HSC_S","per 100 singles with the same characteristics","2019","2019",52,,
"8","10,001 - 50,000 inhab.","AVTYPE_COMP","average number of members","AVE","average","2018","2018",2.4,,
"8","10,001 - 50,000 inhab.","AVTYPE_COMP","average number of members","AVE","average","2019","2019",2.4,,
"6","until 2,000 inhab.","AVTYPE_H60OVER_F","female","THV","thousands value","2018","2018",225,,
"6","until 2,000 inhab.","AVTYPE_H60OVER_F","female","THV","thousands value","2019","2019",189,,
"ITC4","Lombardia","AVTYPE_COMP","average number of members","AVE","average","2018","2018",2.3,,
"ITC4","Lombardia","AVTYPE_COMP","average number of members","AVE","average","2019","2019",2.3,,
"ITE","Centro (I)","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2018","2018",294,,
"ITE","Centro (I)","AVTYPE_HAGG","households with aggregates or more nucleus","THV","thousands value","2019","2019",320,,
"ITC4","Lombardia","AVTYPE_H60OVER_F","female","HSC_S","per 100 singles with the same characteristics","2018","2018",67.5,,
"ITC4","Lombardia","AVTYPE_H60OVER_F","female","HSC_S","per 100 singles with the same characteristics","2019","2019",66.1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","AVTYPE_HYESCHI","couples with children","HSC_N","per 100 nucleus with the same characteristics","2018","2018",43.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","AVTYPE_HYESCHI","couples with children","HSC_N","per 100 nucleus with the same characteristics","2019","2019",45.1,,
"ITF1","Abruzzo","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2018","2018",6.5,,
"ITF1","Abruzzo","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2019","2019",6,,
"7","2,001 - 10,000 inhab.","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2018","2018",4.5,,
"7","2,001 - 10,000 inhab.","AVTYPE_HAGG","households with aggregates or more nucleus","HSC_F","per 100 households with the same characteristics","2019","2019",5.1,,
"ITD1","Provincia Autonoma Bolzano / Bozen","AVTYPE_H60OVER_M","male","THV","thousands value","2018","2018",9,,
"ITD1","Provincia Autonoma Bolzano / Bozen","AVTYPE_H60OVER_M","male","THV","thousands value","2019","2019",12,,
"ITD2","Provincia Autonoma Trento","AVTYPE_COMP","average number of members","AVE","average","2018","2018",2.3,,
"ITD2","Provincia Autonoma Trento","AVTYPE_COMP","average number of members","AVE","average","2019","2019",2.3,,
"8","10,001 - 50,000 inhab.","AVTYPE_H60OVER_M","male","THV","thousands value","2018","2018",321,,
"8","10,001 - 50,000 inhab.","AVTYPE_H60OVER_M","male","THV","thousands value","2019","2019",331,,
"9","50,001 inhab. and over","AVTYPE_HYESCHI","couples with children","THV","thousands value","2018","2018",1446,,
"9","50,001 inhab. and over","AVTYPE_HYESCHI","couples with children","THV","thousands value","2019","2019",1424,,
